instance,element_id,node_ids
PART-1-1,1,8 5 49 50 1 2 41 46
PART-1-1,2,50 49 48 51 46 41 42 45
PART-1-1,3,51 48 47 52 45 42 43 44
PART-1-1,4,52 47 6 7 44 43 3 4
PART-1-1,5,3 4 58 59 6 7 53 56
PART-1-1,6,59 58 57 60 56 53 54 55
PART-1-1,7,60 57 11 12 55 54 9 10
PART-1-1,8,20 17 18 19 13 14 15 16
PART-1-1,9,19 18 108 109 16 15 61 92
PART-1-1,10,109 108 107 110 92 61 62 91
PART-1-1,11,110 107 106 111 91 62 63 90
PART-1-1,12,111 106 105 112 90 63 64 89
PART-1-1,13,112 105 104 113 89 64 65 88
PART-1-1,14,113 104 103 114 88 65 66 87
PART-1-1,15,114 103 102 115 87 66 67 86
PART-1-1,16,115 102 101 116 86 67 68 85
PART-1-1,17,116 101 100 117 85 68 69 84
PART-1-1,18,117 100 99 118 84 69 70 83
PART-1-1,19,118 99 98 119 83 70 71 82
PART-1-1,20,119 98 97 120 82 71 72 81
PART-1-1,21,120 97 96 121 81 72 73 80
PART-1-1,22,121 96 95 122 80 73 74 79
PART-1-1,23,122 95 94 123 79 74 75 78
PART-1-1,24,123 94 93 124 78 75 76 77
PART-1-1,25,124 93 23 24 77 76 21 22
PART-1-1,26,190 224 223 125 25 26 27 28
PART-1-1,27,189 225 222 126 190 224 223 125
PART-1-1,28,188 226 221 127 189 225 222 126
PART-1-1,29,187 227 220 128 188 226 221 127
PART-1-1,30,186 228 219 129 187 227 220 128
PART-1-1,31,185 229 218 130 186 228 219 129
PART-1-1,32,184 230 217 131 185 229 218 130
PART-1-1,33,183 231 216 132 184 230 217 131
PART-1-1,34,182 232 215 133 183 231 216 132
PART-1-1,35,181 233 214 134 182 232 215 133
PART-1-1,36,180 234 213 135 181 233 214 134
PART-1-1,37,179 235 212 136 180 234 213 135
PART-1-1,38,178 236 211 137 179 235 212 136
PART-1-1,39,177 237 210 138 178 236 211 137
PART-1-1,40,176 238 209 139 177 237 210 138
PART-1-1,41,175 239 208 140 176 238 209 139
PART-1-1,42,174 240 207 141 175 239 208 140
PART-1-1,43,173 241 206 142 174 240 207 141
PART-1-1,44,172 242 205 143 173 241 206 142
PART-1-1,45,171 243 204 144 172 242 205 143
PART-1-1,46,170 244 203 145 171 243 204 144
PART-1-1,47,169 245 202 146 170 244 203 145
PART-1-1,48,168 246 201 147 169 245 202 146
PART-1-1,49,167 247 200 148 168 246 201 147
PART-1-1,50,166 248 199 149 167 247 200 148
PART-1-1,51,165 249 198 150 166 248 199 149
PART-1-1,52,164 250 197 151 165 249 198 150
PART-1-1,53,163 251 196 152 164 250 197 151
PART-1-1,54,162 252 195 153 163 251 196 152
PART-1-1,55,161 253 194 154 162 252 195 153
PART-1-1,56,160 254 193 155 161 253 194 154
PART-1-1,57,159 255 192 156 160 254 193 155
PART-1-1,58,158 256 191 157 159 255 192 156
PART-1-1,59,32 29 30 31 158 256 191 157
PART-1-1,60,286 302 301 257 33 34 35 36
PART-1-1,61,285 303 300 258 286 302 301 257
PART-1-1,62,284 304 299 259 285 303 300 258
PART-1-1,63,283 305 298 260 284 304 299 259
PART-1-1,64,282 306 297 261 283 305 298 260
PART-1-1,65,281 307 296 262 282 306 297 261
PART-1-1,66,280 308 295 263 281 307 296 262
PART-1-1,67,279 309 294 264 280 308 295 263
PART-1-1,68,278 310 293 265 279 309 294 264
PART-1-1,69,277 311 292 266 278 310 293 265
PART-1-1,70,276 312 291 267 277 311 292 266
PART-1-1,71,275 313 290 268 276 312 291 267
PART-1-1,72,274 314 289 269 275 313 290 268
PART-1-1,73,273 315 288 270 274 314 289 269
PART-1-1,74,272 316 287 271 273 315 288 270
PART-1-1,75,13 20 17 14 272 316 287 271
