element_id,MISES
1,0.409773
2,0.532083
3,0.507097
4,0.393059
5,0.27571
6,0.175642
7,0.0830709
9,0.0468165
10,0.0574678
11,0.0323844
12,0.00505157
13,0.00520518
14,0.0122758
15,0.0120739
16,0.0613664
17,0.159905
18,0.300468
19,0.438344
20,0.544231
21,0.531108
22,0.394246
23,0.274351
24,0.243
25,0.172315
26,0.0638873
27,0.0459671
28,0.0445479
29,0.0345823
30,0.0222117
31,0.0240097
32,0.0156532
33,0.0170135
34,0.0168523
35,0.0142655
36,0.0206672
37,0.0148228
38,0.022916
39,0.0190473
40,0.0553442
41,0.0856867
42,0.0329508
43,0.0870536
44,0.0485599
45,0.00752972
46,0.0226936
47,0.00620457
48,0.0234396
49,0.0189324
50,0.0209432
51,0.0415122
52,0.0512649
53,0.0446673
54,0.109535
55,0.0769153
56,0.0484478
57,0.0334104
58,0.0471308
59,0.0672797
60,0.06106
61,0.0404006
62,0.0450126
63,0.0227828
64,0.0140636
65,0.00989587
66,0.00858964
67,0.0078812
68,0.00752021
69,0.0066168
70,0.00508514
71,0.0052669
72,0.00505878
73,0.0290401
74,0.0725688
75,0.0652699
76,0.116433
77,0.170523
78,0.165576
79,0.1167
80,0.113557
81,0.142181
82,0.0831174
83,0.138803
84,0.118995
85,0.0641036
86,0.0040068
87,0.0185511
88,0.00602029
89,0.0240934
90,0.0319214
91,0.0935589
92,0.0872193
93,0.127719
94,0.0762985
95,0.0772109
96,0.0241538
97,0.010667
98,0.017709
99,0.0100157
100,0.0161638
101,0.0107223
102,0.0152327
103,0.0136967
104,0.013647
105,0.0236789
106,0.0227001
107,0.0360704
108,0.0399034
109,0.0346384
110,0.0733342
111,0.117755
112,0.144789
113,0.139611
114,0.161581
115,0.15047
116,0.160856
117,0.155064
118,0.156913
119,0.158767
120,0.15377
121,0.164095
122,0.154473
123,0.167666
124,0.13882
125,0.0965323
126,0.119991
127,0.0937706
128,0.13233
129,0.144526
130,0.141427
131,0.148428
132,0.141221
133,0.141289
134,0.121977
135,0.187561
136,0.296504
137,0.104056
138,0.110969
139,0.150547
140,0.145405
141,0.158783
142,0.153184
143,0.159858
144,0.156843
145,0.157952
146,0.159453
147,0.156657
148,0.163083
149,0.155659
150,0.145931
151,0.0839626
152,0.0889397
153,0.0696737
154,0.10318
155,0.0783349
156,0.124
157,0.125491
158,0.139118
159,0.129432
160,0.126923
161,0.128119
162,0.138415
163,0.374044
164,0.812969
165,0.945948
166,0.898252
167,0.764295
168,0.208998
169,0.198382
170,0.134428
