instance,element_id,MISES,S11,S22,S33,S12,S13,S23
PART-1-1,1,0.410873,0.344438,-0.0107783,0.0158529,-0.13088,-0.000279449,2.48363e-05
PART-1-1,2,0.531286,0.453271,-0.127339,0.0155584,-0.0506773,-0.000224144,-0.000157048
PART-1-1,3,0.507528,0.43803,-0.0967089,0.0191453,0.0819927,-5.73877e-05,-0.000166511
PART-1-1,4,0.392895,0.310716,-0.00532035,0.0121672,0.141077,6.09799e-05,-8.36148e-05
PART-1-1,5,0.275706,0.108006,-0.00168451,0.0184668,0.148083,0.000159657,-8.09114e-05
PART-1-1,6,0.175693,-0.0483121,0.121704,0.011992,0.0534738,0.00010397,0.000108074
PART-1-1,7,0.0830533,-0.0711857,-0.0255245,0.0157054,-0.0202517,2.49726e-05,-3.81208e-05
PART-1-1,9,0.0150845,-0.00877387,-0.00899556,-0.000407561,-0.00720283,-5.88482e-06,-5.06704e-06
PART-1-1,10,0.0747273,-0.00192385,-0.00401919,-0.000403607,-0.0431056,-4.89963e-05,1.05133e-05
PART-1-1,11,0.0219461,-0.00199219,-0.00159349,-0.000427434,-0.0126445,-1.57066e-05,5.8564e-06
PART-1-1,12,0.00586796,-0.000614381,0.00294345,-0.000173152,-0.00277788,-1.9025e-06,2.80869e-06
PART-1-1,13,0.00616601,-0.00150567,0.00351039,-0.000803855,0.00230119,2.25822e-06,6.2179e-06
PART-1-1,14,0.0113126,-0.00367961,0.00713024,0.000421766,-0.00358869,-1.57732e-06,7.49581e-06
PART-1-1,15,0.0113937,-0.00304225,0.00841998,-0.00181865,0.00191138,2.54226e-06,1.37555e-05
PART-1-1,16,0.0623275,-0.0321576,0.0332017,0.00221839,0.0150328,3.28996e-05,2.87893e-05
PART-1-1,17,0.157916,-0.0559382,-0.00643117,-0.00477275,0.0864129,0.000122498,-3.46399e-05
PART-1-1,18,0.301917,0.133938,-0.0188253,0.00510815,0.153732,0.000134135,-9.05048e-05
PART-1-1,19,0.437702,0.401067,0.0862571,7.90308e-05,0.13895,2.37512e-06,4.53612e-05
PART-1-1,20,0.544284,0.485298,-0.0771965,0.00225272,0.0779369,-0.000104207,-0.000124915
PART-1-1,21,0.531416,0.472856,-0.0704929,0.00466813,-0.08634,-0.000289974,-5.64248e-05
PART-1-1,22,0.393948,0.318135,0.0646458,-0.00256364,-0.152079,-0.000312979,0.00014081
PART-1-1,23,0.274586,-0.0311251,-0.0854816,0.00534167,-0.151801,-0.000163098,-4.5046e-05
PART-1-1,24,0.242914,-0.217838,-0.027707,-0.00649324,-0.0782601,-6.67034e-06,4.16047e-06
PART-1-1,25,0.172301,-0.103394,0.0834785,0.00218968,0.033412,8.00355e-05,8.59644e-05
PART-1-1,26,0.0639285,0.0440555,-0.0164254,-0.0151577,-0.0129611,-5.321e-05,1.26959e-06
PART-1-1,27,0.0459018,0.0350196,0.0239789,-0.0141445,-0.00607647,-4.27553e-05,4.98504e-05
PART-1-1,28,0.0448227,0.0226258,-0.0237214,-0.0163574,-0.00702564,-3.83664e-05,-5.47143e-06
PART-1-1,29,0.0347133,0.0140845,0.0225619,-0.0133698,-0.00699183,-3.44024e-05,4.50788e-05
PART-1-1,30,0.0228738,0.00625653,-0.0155917,-0.016764,-0.00250856,-2.67884e-05,4.17461e-06
PART-1-1,31,0.0249794,0.00301508,0.0150051,-0.0133021,-0.00247063,-2.41332e-05,3.34e-05
PART-1-1,32,0.0161316,0.00168738,-0.0101832,-0.016604,0.00078972,-2.10646e-05,9.10825e-06
PART-1-1,33,0.0187994,0.00140355,0.00729658,-0.0136374,-0.00112882,-2.18548e-05,2.4266e-05
PART-1-1,34,0.0156986,0.00146219,-0.00411383,-0.0161361,0.00112286,-2.04441e-05,1.5062e-05
PART-1-1,35,0.0156096,0.00152142,0.00110062,-0.0141963,-0.00100748,-2.19271e-05,1.81132e-05
PART-1-1,36,0.0170549,0.00139598,0.00154841,-0.0155105,0.000901882,-2.04445e-05,2.0358e-05
PART-1-1,37,0.0142299,0.00115746,-0.00479449,-0.0148643,-0.00138171,-2.2481e-05,1.27466e-05
PART-1-1,38,0.0187401,-0.000286398,0.00632334,-0.0148142,-0.000373626,-2.1011e-05,2.49247e-05
PART-1-1,39,0.0196598,-0.00740179,-0.0192665,-0.015555,-0.00959154,-2.92462e-05,1.09696e-07
PART-1-1,40,0.0480625,-0.0305293,0.00228852,-0.0141721,-0.0223773,-3.51305e-05,2.7462e-05
PART-1-1,41,0.0623292,-0.0511991,0.0198425,-0.0164484,-0.00574893,-7.70492e-06,4.72282e-05
PART-1-1,42,0.0439219,-0.0581114,-0.0152842,-0.0135661,-0.00247849,8.23382e-07,-2.25551e-06
PART-1-1,43,0.0714592,-0.0545014,0.0270514,-0.016631,0.0060502,7.91095e-06,5.08003e-05
PART-1-1,44,0.0446395,-0.0332283,-0.00614366,-0.0139621,0.0216775,1.94612e-05,-2.2657e-07
PART-1-1,45,0.0108199,-0.0135374,-0.0146106,-0.0159381,0.00612999,-7.92665e-06,-2.90487e-07
PART-1-1,46,0.0175351,-0.00897994,0.0052725,-0.0142651,-0.00060111,-1.72813e-05,2.26453e-05
PART-1-1,47,0.0103981,-0.00932962,-0.00375473,-0.0157198,0.000440082,-1.6396e-05,1.5137e-05
PART-1-1,48,0.0176663,-0.00749234,0.00541211,-0.0143962,0.00171443,-1.50439e-05,2.17812e-05
PART-1-1,49,0.0204398,-0.00126995,0.00197286,-0.0157509,0.0070854,-1.1559e-05,1.97236e-05
PART-1-1,50,0.0231068,-0.00145508,-0.0227921,-0.0140158,-0.00793487,-2.89113e-05,-9.29333e-06
PART-1-1,51,0.0438144,-0.0219344,0.00622563,-0.0166644,-0.0203907,-3.67943e-05,3.75707e-05
PART-1-1,52,0.0492066,-0.04034,0.0159872,-0.0130266,-0.00369662,-8.4064e-06,3.34284e-05
PART-1-1,53,0.0451233,-0.0539008,-0.0359284,-0.0163152,-0.0180364,-2.1136e-05,-1.30524e-05
PART-1-1,54,0.108691,-0.0739174,0.0505735,-0.0130654,-0.00792382,3.0232e-07,7.58399e-05
PART-1-1,55,0.0770315,-0.055436,0.00370199,-0.0158371,0.0327123,4.15956e-05,1.50549e-05
PART-1-1,56,0.0485976,-0.00857256,-0.00910828,-0.0137584,0.0279125,1.76054e-05,-1.07786e-05
PART-1-1,57,0.033304,0.0122928,-0.0230652,-0.0154821,0.00481626,-1.827e-05,-5.804e-06
PART-1-1,58,0.047198,0.0263202,0.0312669,-0.0151892,0.00957095,-1.96799e-05,4.54402e-05
PART-1-1,59,0.0672645,0.0410817,-0.0221175,-0.0149565,0.0176225,-1.63761e-05,-1.14331e-05
PART-1-1,60,0.0611427,-0.0195855,-0.0370394,0.000402109,-0.0299189,-2.5446e-05,-3.48752e-05
PART-1-1,61,0.0403283,-0.0421326,-0.00895125,-0.000935134,-0.00806497,5.18199e-06,-4.34216e-06
PART-1-1,62,0.0450911,-0.0318516,0.0176625,-8.38217e-05,-0.00695986,5.14612e-06,2.15994e-05
PART-1-1,63,0.0227855,-0.0128844,0.0133392,-0.000499697,-0.000981566,3.3847e-06,1.89946e-05
PART-1-1,64,0.0135703,-0.00642595,0.00774228,-0.000338437,0.0032967,5.85978e-06,6.55372e-06
PART-1-1,65,0.00910592,-0.00248941,0.00503199,-0.000364534,-0.00355026,-2.96047e-06,9.36573e-06
PART-1-1,66,0.00722912,-0.000685114,0.0019945,-0.000439118,0.00390207,3.65176e-06,1.16592e-07
PART-1-1,67,0.00635331,-0.000154897,0.00053987,-0.000271121,-0.00364177,-3.56793e-06,3.39168e-06
PART-1-1,68,0.00609599,-0.000233517,0.000182278,-0.000524278,0.00350156,2.73569e-06,-1.29132e-06
PART-1-1,69,0.00568159,2.47687e-05,-0.000926557,-0.000184197,-0.00324194,-2.91414e-06,8.86018e-07
PART-1-1,70,0.00524159,0.000129677,-0.000691617,-0.000612597,0.00299212,1.82386e-06,-1.53724e-06
PART-1-1,71,0.00741105,0.0011163,-0.00197602,-8.50905e-05,-0.00398467,-3.97756e-06,-6.92907e-07
PART-1-1,72,0.00840337,0.00249029,-0.0019772,-0.000732263,0.00426888,2.20556e-06,-2.9095e-06
PART-1-1,73,0.0162837,0.00444952,-0.000270584,5.48873e-05,0.00902424,1.05468e-05,-4.60626e-06
PART-1-1,74,0.0810287,0.00392812,0.00452388,-0.000913881,0.0466867,5.15883e-05,-1.12979e-05
PART-1-1,75,0.0379575,0.0136109,0.0139181,0.00025018,0.0204782,1.99748e-05,7.38426e-06
PART-1-1,76,0.116411,0.0250945,0.0400153,0.00688076,-0.0651289,-7.62402e-05,7.52477e-05
PART-1-1,77,0.170512,0.114428,-0.0776302,0.00960772,-0.0210739,-6.13296e-05,-0.000100737
PART-1-1,78,0.165778,0.117131,-0.021519,0.00713284,0.0616711,3.29597e-05,-5.64345e-05
PART-1-1,79,0.11635,0.0781519,-0.0178004,0.0056781,0.0448409,3.07743e-05,-4.92129e-05
PART-1-1,80,0.113871,0.13662,0.0539318,0.00787855,0.00816801,-3.68944e-05,5.49596e-05
PART-1-1,81,0.141603,0.15402,0.0380929,0.00330102,0.0213581,-2.63914e-05,2.88622e-05
PART-1-1,82,0.0836059,0.0994229,0.0232889,0.0100675,-0.00201194,-3.00723e-05,2.10132e-05
PART-1-1,83,0.138943,0.111818,-0.00156755,0.00167292,-0.04763,-9.39261e-05,1.25326e-05
PART-1-1,84,0.120658,0.100353,-0.0347839,0.0135741,0.0128165,-1.18009e-05,-6.19125e-05
PART-1-1,85,0.0615529,0.0308232,-0.0168748,0.00246553,0.0262177,2.65141e-05,-3.3804e-05
PART-1-1,86,0.00580549,0.009872,0.00801432,0.0128043,0.00232427,1.09707e-05,-7.55892e-06
PART-1-1,87,0.0166054,0.0171131,0.00328361,0.00211765,0.00472587,6.02984e-06,1.20093e-06
PART-1-1,88,0.00914291,0.0182703,0.00790067,0.0140241,-0.000829517,4.64185e-06,-9.96168e-06
PART-1-1,89,0.0219626,0.0177648,-0.00688862,0.000335211,0.000395993,-1.04765e-07,-4.70736e-06
PART-1-1,90,0.0323836,0.0284588,-0.00808925,0.0162373,-0.00184761,3.69837e-07,-3.4399e-05
PART-1-1,91,0.0932776,0.0688157,-0.0367866,-0.00233679,-0.000120669,-2.28246e-05,-3.35533e-05
PART-1-1,92,0.0803876,0.111547,0.0765621,0.0196602,0.00179573,-2.69504e-05,5.80426e-05
PART-1-1,93,0.155508,0.112913,-0.0624945,-0.0049616,0.00809531,-3.22354e-05,-6.26313e-05
PART-1-1,94,0.068247,0.0895524,0.0848242,0.01932,0.00340425,-1.71644e-05,6.76344e-05
PART-1-1,95,0.0730434,0.0489071,-0.0342199,-0.00203273,-0.00464947,-1.69256e-05,-2.91648e-05
PART-1-1,96,0.0199303,0.00549163,-0.00696877,0.0159235,0.00102305,1.15455e-05,-3.34245e-05
PART-1-1,97,0.0128447,-0.00580924,-0.00976527,0.000817943,-0.00513807,4.82182e-06,-7.11363e-06
PART-1-1,98,0.0173331,-0.00630917,0.00350592,0.0133356,0.00191487,1.64524e-05,-1.45793e-05
PART-1-1,99,0.00968452,-0.00593215,-0.00299005,0.00316774,-0.0031144,8.05093e-06,-5.78438e-06
PART-1-1,100,0.0154996,-0.005714,0.000556212,0.0112154,0.00261192,1.64079e-05,-1.28946e-05
PART-1-1,101,0.0105012,-0.00574667,0.000961658,0.0050755,-0.00263017,9.18251e-06,-6.28922e-06
PART-1-1,102,0.0146514,-0.00558982,-0.00240381,0.00951581,0.00285533,1.61681e-05,-1.18167e-05
PART-1-1,103,0.0138062,-0.00579704,0.0064505,0.00656911,-0.00361212,8.42904e-06,-3.65126e-06
PART-1-1,104,0.0134474,-0.00625421,-0.00367466,0.00824971,0.000639716,1.3631e-05,-8.43001e-06
PART-1-1,105,0.023718,-0.00770374,0.0151676,0.00758449,-0.00719674,4.88976e-06,4.75374e-06
PART-1-1,106,0.022883,-0.0127325,-0.00170112,0.00753576,-0.00846018,5.81346e-06,5.71526e-07
PART-1-1,107,0.0358932,-0.00976356,0.0137174,0.00786825,-0.0167342,-6.41629e-06,4.73984e-06
PART-1-1,108,0.040073,-0.0100421,-0.0116871,0.00772245,-0.0204804,-8.09852e-06,-5.34206e-06
PART-1-1,109,0.0347093,-0.0185409,-0.0160792,0.00728354,0.0140871,3.29585e-05,-4.48784e-05
PART-1-1,110,0.0733619,-0.0647167,-0.018347,0.0152538,0.0134751,6.35166e-05,-5.01277e-05
PART-1-1,111,0.117709,-0.0996037,0.000268577,0.0138014,0.0279659,9.39382e-05,-2.21661e-05
PART-1-1,112,0.144977,-0.124711,0.0224673,0.0158051,0.00988185,8.31022e-05,-1.81239e-06
PART-1-1,113,0.139308,-0.138168,-0.0166735,0.0132559,0.00615329,8.29529e-05,-3.25584e-05
