element_id,MISES
1,3.1545
2,5.33382
3,6.60225
4,5.69529
5,5.91875
6,5.92343
7,5.89807
8,5.90598
9,5.90722
10,5.90411
11,5.90739
12,5.90563
13,5.89864
14,5.92268
15,5.91958
16,5.69492
17,6.60168
18,5.33462
19,3.15957
20,3.15471
21,5.33314
22,6.60219
23,5.69578
24,5.91821
25,5.924
26,5.89742
27,5.90675
28,5.9063
29,5.90517
30,5.90617
31,5.907
32,5.89712
33,5.9243
34,5.918
35,5.69565
36,6.60208
37,5.33542
38,3.14763
39,1.54807
40,2.81028
41,1.97976
42,1.94105
43,1.97134
44,1.9699
45,1.95524
46,1.96644
47,1.96213
48,1.96224
49,1.96223
50,1.96629
51,1.95531
52,1.97006
53,1.97064
54,1.94265
55,1.97824
56,2.81199
57,1.54691
58,1.54856
59,2.81099
60,1.97941
61,1.9416
62,1.97054
63,1.97089
64,1.95405
65,1.96781
66,1.96059
67,1.96392
68,1.96049
69,1.968
70,1.95378
71,1.97128
72,1.97016
73,1.94212
74,1.97671
75,2.8105
76,1.54318
77,3.15132
78,5.333
79,6.59715
80,5.68707
81,5.91078
82,5.9153
83,5.89026
84,5.89796
85,5.89948
86,5.89598
87,5.89983
88,5.8972
89,5.89147
90,5.91356
91,5.91287
92,5.68469
93,6.59789
94,5.33285
95,3.14984
96,3.15153
97,5.33234
98,6.59709
99,5.68757
100,5.91022
101,5.9159
102,5.88954
103,5.89886
104,5.89833
105,5.89742
106,5.89801
107,5.89952
108,5.88857
109,5.91721
110,5.9087
111,5.68964
112,6.5962
113,5.33556
114,3.15158
115,1.54457
116,2.80361
117,1.97197
118,1.93133
119,1.96167
120,1.96049
121,1.94584
122,1.95694
123,1.95292
124,1.95245
125,1.95347
126,1.95583
127,1.94756
128,1.95824
129,1.96473
130,1.92798
131,1.9746
132,2.7963
133,1.54877
134,1.54505
135,2.80429
136,1.9716
137,1.93187
138,1.9609
139,1.96148
140,1.94461
141,1.95848
142,1.95102
143,1.95484
144,1.95046
145,1.95965
146,1.94266
147,1.96432
148,1.95668
149,1.93737
150,1.96517
151,2.81375
152,1.53523
153,
154,
155,
156,
157,
158,
159,
160,
