instance,element_id,node_ids
PART-1-1,1,96 186 280 184 1 19 148 56
PART-1-1,2,186 187 281 280 19 20 149 148
PART-1-1,3,187 188 282 281 20 21 150 149
PART-1-1,4,188 189 283 282 21 22 151 150
PART-1-1,5,189 190 284 283 22 23 152 151
PART-1-1,6,190 191 285 284 23 24 153 152
PART-1-1,7,191 192 286 285 24 25 154 153
PART-1-1,8,192 193 287 286 25 26 155 154
PART-1-1,9,193 194 288 287 26 27 156 155
PART-1-1,10,194 195 289 288 27 28 157 156
PART-1-1,11,195 196 290 289 28 29 158 157
PART-1-1,12,196 197 291 290 29 30 159 158
PART-1-1,13,197 198 292 291 30 31 160 159
PART-1-1,14,198 199 293 292 31 32 161 160
PART-1-1,15,199 200 294 293 32 33 162 161
PART-1-1,16,200 201 295 294 33 34 163 162
PART-1-1,17,201 202 296 295 34 35 164 163
PART-1-1,18,202 203 297 296 35 36 165 164
PART-1-1,19,203 98 185 297 36 2 37 165
PART-1-1,20,184 280 204 95 56 148 55 4
PART-1-1,21,280 281 205 204 148 149 54 55
PART-1-1,22,281 282 206 205 149 150 53 54
PART-1-1,23,282 283 207 206 150 151 52 53
PART-1-1,24,283 284 208 207 151 152 51 52
PART-1-1,25,284 285 209 208 152 153 50 51
PART-1-1,26,285 286 210 209 153 154 49 50
PART-1-1,27,286 287 211 210 154 155 48 49
PART-1-1,28,287 288 212 211 155 156 47 48
PART-1-1,29,288 289 213 212 156 157 46 47
PART-1-1,30,289 290 214 213 157 158 45 46
PART-1-1,31,290 291 215 214 158 159 44 45
PART-1-1,32,291 292 216 215 159 160 43 44
PART-1-1,33,292 293 217 216 160 161 42 43
PART-1-1,34,293 294 218 217 161 162 41 42
PART-1-1,35,294 295 219 218 162 163 40 41
PART-1-1,36,295 296 220 219 163 164 39 40
PART-1-1,37,296 297 221 220 164 165 38 39
PART-1-1,38,297 185 97 221 165 37 3 38
PART-1-1,39,8 74 166 94 96 186 280 184
PART-1-1,40,74 73 167 166 186 187 281 280
PART-1-1,41,73 72 168 167 187 188 282 281
PART-1-1,42,72 71 169 168 188 189 283 282
PART-1-1,43,71 70 170 169 189 190 284 283
PART-1-1,44,70 69 171 170 190 191 285 284
PART-1-1,45,69 68 172 171 191 192 286 285
PART-1-1,46,68 67 173 172 192 193 287 286
PART-1-1,47,67 66 174 173 193 194 288 287
PART-1-1,48,66 65 175 174 194 195 289 288
PART-1-1,49,65 64 176 175 195 196 290 289
PART-1-1,50,64 63 177 176 196 197 291 290
PART-1-1,51,63 62 178 177 197 198 292 291
PART-1-1,52,62 61 179 178 198 199 293 292
PART-1-1,53,61 60 180 179 199 200 294 293
PART-1-1,54,60 59 181 180 200 201 295 294
PART-1-1,55,59 58 182 181 201 202 296 295
PART-1-1,56,58 57 183 182 202 203 297 296
PART-1-1,57,57 5 75 183 203 98 185 297
PART-1-1,58,94 166 76 7 184 280 204 95
PART-1-1,59,166 167 77 76 280 281 205 204
PART-1-1,60,167 168 78 77 281 282 206 205
PART-1-1,61,168 169 79 78 282 283 207 206
PART-1-1,62,169 170 80 79 283 284 208 207
PART-1-1,63,170 171 81 80 284 285 209 208
PART-1-1,64,171 172 82 81 285 286 210 209
PART-1-1,65,172 173 83 82 286 287 211 210
PART-1-1,66,173 174 84 83 287 288 212 211
PART-1-1,67,174 175 85 84 288 289 213 212
PART-1-1,68,175 176 86 85 289 290 214 213
PART-1-1,69,176 177 87 86 290 291 215 214
PART-1-1,70,177 178 88 87 291 292 216 215
