instance,element_id,MISES,S11,S22,S33,S12,S13,S23
PART-1-1,1,3.1545,2.41535,-0.781744,0.134337,0.777937,-0.0196047,-0.0279419
PART-1-1,2,5.33382,6.01683,1.10673,0.428779,0.424847,-0.00356605,-0.0594183
PART-1-1,3,6.60225,6.47344,-0.380139,0.200855,-0.292503,0.0230853,-0.0375038
PART-1-1,4,5.69529,5.85479,0.0357767,0.295008,0.0561124,-0.00769928,-0.0484274
PART-1-1,5,5.91875,6.06325,0.026633,0.27088,-0.00604631,0.00974983,-0.0420343
PART-1-1,6,5.92343,6.04825,-0.0126542,0.274038,-0.0189304,0.00317538,-0.0471454
PART-1-1,7,5.89807,6.03001,0.000508849,0.273812,-0.00593314,0.00487489,-0.0425569
PART-1-1,8,5.90598,6.03913,0.00260274,0.274228,-0.00822632,0.00459161,-0.0466805
PART-1-1,9,5.90722,6.03799,-0.00182114,0.274021,-0.00795689,0.0046638,-0.042938
PART-1-1,10,5.90411,6.03659,0.00162508,0.273904,-0.00711334,0.00462508,-0.046486
PART-1-1,11,5.90739,6.03799,-0.00200588,0.273842,-0.00535583,0.00463802,-0.0428921
PART-1-1,12,5.90563,6.03916,0.00294964,0.274626,-0.00615299,0.00467364,-0.046767
PART-1-1,13,5.89864,6.02997,-3.46579e-05,0.273127,-0.00707665,0.00439106,-0.0424239
PART-1-1,14,5.92268,6.04841,-0.0120216,0.275087,0.00408979,0.00611696,-0.0473018
PART-1-1,15,5.91958,6.06293,0.0256935,0.269448,-0.00662952,-0.000514604,-0.0418505
PART-1-1,16,5.69492,5.85516,0.0367446,0.296669,-0.0707421,0.0167473,-0.0486438
PART-1-1,17,6.60168,6.47303,-0.382472,0.199477,0.277055,-0.0138147,-0.037463
PART-1-1,18,5.33462,6.01444,1.10587,0.428842,-0.436569,0.0117507,-0.0584371
PART-1-1,19,3.15957,2.41402,-0.780666,0.136838,-0.787809,0.024619,-0.0283843
PART-1-1,20,3.15471,2.41478,-0.782337,0.134417,0.778186,0.0246244,0.0295889
PART-1-1,21,5.33314,6.01622,1.10723,0.428755,0.425089,0.0132681,0.0595318
PART-1-1,22,6.60219,6.47367,-0.379778,0.200886,-0.292561,-0.0133188,0.0372832
PART-1-1,23,5.69578,5.85485,0.0351291,0.294926,0.0559501,0.0169111,0.0484206
PART-1-1,24,5.91821,6.06318,0.0273725,0.271024,-0.00602769,-0.000357506,0.0420716
PART-1-1,25,5.924,6.04826,-0.0135199,0.273835,-0.0189816,0.00622623,0.0470597
PART-1-1,26,5.89742,6.03004,0.00154881,0.274085,-0.00604429,0.0044929,0.0426176
PART-1-1,27,5.90675,6.03908,0.00136514,0.273875,-0.00812985,0.00479522,0.0465692
PART-1-1,28,5.9063,6.03806,-0.000386221,0.274481,-0.00827434,0.00471179,0.0430481
PART-1-1,29,5.90517,6.03652,1.62777e-06,0.273309,-0.00671459,0.00476171,0.0463146
PART-1-1,30,5.90617,6.03809,-0.000213026,0.274618,-0.00609836,0.00473233,0.0430782
PART-1-1,31,5.907,6.03904,0.00103161,0.273614,-0.00518007,0.00472398,0.0465189
PART-1-1,32,5.89712,6.03013,0.00199482,0.274455,-0.00853268,0.00492911,0.042683
PART-1-1,33,5.9243,6.04817,-0.0140054,0.273337,0.00594224,0.00337262,0.0470253
PART-1-1,34,5.918,6.06354,0.0278297,0.271771,-0.00883705,0.00951902,0.0420423
PART-1-1,35,5.69565,5.85399,0.035578,0.293582,-0.0680783,-0.00699315,0.0485511
PART-1-1,36,6.60208,6.47622,-0.380668,0.203556,0.27672,0.0215003,0.0368477
PART-1-1,37,5.33542,6.01468,1.11187,0.423535,-0.435679,-0.00293672,0.0609813
PART-1-1,38,3.14763,2.40946,-0.77601,0.143779,-0.783253,-0.0210677,0.0289975
PART-1-1,39,1.54807,-0.803979,-0.769315,-0.0525529,-0.786274,0.00223152,0.0259052
PART-1-1,40,2.81028,-1.99937,1.10329,-0.11923,-0.43132,0.00999791,0.0613874
PART-1-1,41,1.97976,-2.15012,-0.380474,-0.112675,0.281253,-0.0111688,0.0387939
PART-1-1,42,1.94105,-1.94625,0.034333,-0.0575583,-0.0631391,0.000462465,0.046742
PART-1-1,43,1.97134,-2.01523,0.0275388,-0.127274,-0.000711235,0.00170424,0.0430874
PART-1-1,44,1.9699,-2.01015,-0.0140698,-0.071314,0.0124333,-0.00615839,0.0469197
PART-1-1,45,1.95524,-2.00412,0.00154358,-0.106596,-2.4263e-05,0.00261738,0.0425241
PART-1-1,46,1.96644,-2.00714,0.000942046,-0.0888136,0.00263903,-0.00430623,0.0469657
PART-1-1,47,1.96213,-2.00675,-0.00050222,-0.0949574,0.00294905,-0.000110464,0.0427371
PART-1-1,48,1.96224,-2.00631,-0.000308231,-0.0945841,0.00236767,-0.00149887,0.0468119
PART-1-1,49,1.96223,-2.00674,-0.000508779,-0.0947007,0.00139645,-0.00292174,0.0426814
PART-1-1,50,1.96629,-2.00717,0.00103838,-0.0892957,0.00217059,0.00134441,0.0470771
PART-1-1,51,1.95531,-2.00407,0.00119368,-0.105956,0.0042281,-0.00571951,0.0423582
PART-1-1,52,1.97006,-2.01028,-0.0132397,-0.0719977,-0.00748942,0.00331469,0.0471291
PART-1-1,53,1.97064,-2.01511,0.0260075,-0.126724,0.00483646,-0.0049534,0.0428779
PART-1-1,54,1.94265,-1.94638,0.0363027,-0.0577082,0.0678414,-0.00304446,0.0469069
PART-1-1,55,1.97824,-2.15142,-0.382387,-0.113301,-0.277391,0.00768942,0.0388845
PART-1-1,56,2.81199,-1.99813,1.10333,-0.117366,0.436798,-0.0118074,0.0612517
PART-1-1,57,1.54691,-0.801784,-0.775149,-0.0559185,0.785944,-0.00247553,0.0295874
