element_id,MISES
1,59.9359
2,59.9359
3,36.6665
4,36.6665
5,9.1756
6,9.1756
7,74.7719
8,74.7719
9,26.5009
10,26.5009
11,29.255
12,29.255
13,90.0588
14,90.0588
15,19.2513
16,19.2513
17,44.5743
18,44.5743
19,82.0322
20,82.0322
21,28.8985
22,28.8985
23,39.4806
24,39.4806
25,87.2418
26,87.2418
27,23.1885
28,23.1885
29,38.7038
30,38.7038
31,84.6743
32,84.6743
33,23.5856
34,23.5856
35,38.3431
36,38.3431
37,85.3131
38,85.3131
39,23.3122
40,23.3122
41,38.4528
42,38.4528
43,85.0581
44,85.0581
45,23.4235
46,23.4235
47,38.4924
48,38.4924
49,85.2778
50,85.2778
51,23.3797
52,23.3797
53,38.4437
54,38.4437
55,85.0954
56,85.0954
57,23.4854
58,23.4854
59,38.5366
60,38.5366
61,85.2384
62,85.2384
63,23.351
64,23.351
65,38.4024
66,38.4024
67,85.1352
68,85.1352
69,23.483
70,23.483
71,38.5564
72,38.5564
73,85.2045
74,85.2045
75,23.3612
76,23.3612
77,38.3962
78,38.3962
79,85.1585
80,85.1585
81,23.4711
82,23.4711
83,38.5543
84,38.5543
85,85.1906
86,85.1906
87,23.3715
88,23.3715
89,38.402
90,38.402
91,85.1658
92,85.1658
93,23.4639
94,23.4639
95,38.5485
96,38.5485
97,85.1875
98,85.1875
99,23.3752
100,23.3752
101,38.4054
102,38.4054
103,85.1658
104,85.1658
105,23.4638
106,23.4638
107,38.5485
108,38.5485
109,85.1905
110,85.1905
111,23.3715
112,23.3715
113,38.4019
114,38.4019
115,85.1586
116,85.1586
117,23.471
118,23.471
119,38.5544
120,38.5544
121,85.2043
122,85.2043
123,23.3612
124,23.3612
125,38.3961
126,38.3961
127,85.1354
128,85.1354
129,23.4829
130,23.4829
131,38.5565
132,38.5565
133,85.2382
134,85.2382
135,23.3511
136,23.3511
137,38.4024
138,38.4024
139,85.0957
140,85.0957
141,23.4851
142,23.4851
143,38.5366
144,38.5366
145,85.2775
146,85.2775
147,23.38
148,23.38
149,38.4439
150,38.4439
151,85.0583
152,85.0583
153,23.4228
154,23.4228
155,38.4919
156,38.4919
157,85.313
158,85.313
159,23.3129
160,23.3129
161,38.4535
162,38.4535
163,84.6738
164,84.6738
165,23.5845
166,23.5845
167,38.3415
168,38.3415
169,87.2428
170,87.2428
171,23.1897
172,23.1897
173,38.706
174,38.706
175,82.0311
176,82.0311
177,28.8983
178,28.8983
179,39.4778
180,39.4778
181,90.0573
182,90.0573
183,19.2536
184,19.2536
185,44.5798
186,44.5798
187,74.7783
188,74.7783
189,26.5034
190,26.5034
191,29.255
192,29.255
193,59.9329
194,59.9329
195,36.668
196,36.668
197,9.1734
198,9.1734
199,83.4583
200,83.4583
201,133.821
202,133.821
203,142.607
204,142.607
205,148.156
206,148.156
207,145.224
208,145.224
209,144.023
210,144.023
211,144.946
212,144.946
213,144.086
214,144.086
215,145.033
216,145.033
217,144.112
218,144.112
219,144.986
220,144.986
221,144.153
222,144.153
223,144.945
224,144.945
225,144.187
226,144.187
227,144.918
228,144.918
229,144.205
230,144.205
231,144.909
232,144.909
233,144.205
234,144.205
235,144.918
236,144.918
237,144.187
238,144.187
239,144.945
240,144.945
241,144.153
242,144.153
243,144.986
244,144.986
245,144.111
246,144.111
247,145.034
248,145.034
249,144.084
250,144.084
251,144.95
252,144.95
253,144.016
254,144.016
255,145.234
256,145.234
257,148.143
258,148.143
259,142.619
260,142.619
261,133.816
262,133.816
263,83.4639
264,83.4639
331,77.5729
332,77.5729
333,54.6167
334,54.6167
335,26.9692
336,26.9692
337,35.6151
338,35.6151
339,31.3984
340,31.3984
341,30.0788
342,30.0788
343,31.3936
344,31.3936
345,30.5892
346,30.5892
347,30.9196
348,30.9196
349,30.981
350,30.981
351,30.6715
352,30.6715
353,31.1172
354,31.1172
355,30.5995
356,30.5995
357,31.1517
358,31.1517
359,30.5853
360,30.5853
361,31.1558
362,31.1558
363,30.5844
364,30.5844
365,31.1561
366,31.1561
367,30.5847
368,30.5847
369,31.1525
370,31.1525
371,30.5984
372,30.5984
373,31.1182
374,31.1182
375,30.6705
376,30.6705
377,30.9814
378,30.9814
379,30.9198
380,30.9198
381,30.5874
382,30.5874
383,31.3972
384,31.3972
385,30.0723
386,30.0723
387,31.4073
388,31.4073
389,35.6081
390,35.6081
391,26.9758
392,26.9758
393,54.6368
394,54.6368
395,77.5847
396,77.5847
