instance,element_id,node_ids
PART-1-1,1,100 561 753 433 1 25 429 30
PART-1-1,2,561 133 497 753 25 2 26 429
PART-1-1,3,433 753 754 434 30 429 430 29
PART-1-1,4,753 497 498 754 429 26 27 430
PART-1-1,5,434 754 593 37 29 430 28 4
PART-1-1,6,754 498 132 593 430 27 3 28
PART-1-1,7,99 562 755 435 100 561 753 433
PART-1-1,8,562 134 499 755 561 133 497 753
PART-1-1,9,435 755 756 436 433 753 754 434
PART-1-1,10,755 499 500 756 753 497 498 754
PART-1-1,11,436 756 594 38 434 754 593 37
PART-1-1,12,756 500 131 594 754 498 132 593
PART-1-1,13,98 563 757 437 99 562 755 435
PART-1-1,14,563 135 501 757 562 134 499 755
PART-1-1,15,437 757 758 438 435 755 756 436
PART-1-1,16,757 501 502 758 755 499 500 756
PART-1-1,17,438 758 595 39 436 756 594 38
PART-1-1,18,758 502 130 595 756 500 131 594
PART-1-1,19,97 564 759 439 98 563 757 437
PART-1-1,20,564 136 503 759 563 135 501 757
PART-1-1,21,439 759 760 440 437 757 758 438
PART-1-1,22,759 503 504 760 757 501 502 758
PART-1-1,23,440 760 596 40 438 758 595 39
PART-1-1,24,760 504 129 596 758 502 130 595
PART-1-1,25,96 565 761 441 97 564 759 439
PART-1-1,26,565 137 505 761 564 136 503 759
PART-1-1,27,441 761 762 442 439 759 760 440
PART-1-1,28,761 505 506 762 759 503 504 760
PART-1-1,29,442 762 597 41 440 760 596 40
PART-1-1,30,762 506 128 597 760 504 129 596
PART-1-1,31,95 566 763 443 96 565 761 441
PART-1-1,32,566 138 507 763 565 137 505 761
PART-1-1,33,443 763 764 444 441 761 762 442
PART-1-1,34,763 507 508 764 761 505 506 762
PART-1-1,35,444 764 598 42 442 762 597 41
PART-1-1,36,764 508 127 598 762 506 128 597
PART-1-1,37,94 567 765 445 95 566 763 443
PART-1-1,38,567 139 509 765 566 138 507 763
PART-1-1,39,445 765 766 446 443 763 764 444
PART-1-1,40,765 509 510 766 763 507 508 764
PART-1-1,41,446 766 599 43 444 764 598 42
PART-1-1,42,766 510 126 599 764 508 127 598
PART-1-1,43,93 568 767 447 94 567 765 445
PART-1-1,44,568 140 511 767 567 139 509 765
PART-1-1,45,447 767 768 448 445 765 766 446
PART-1-1,46,767 511 512 768 765 509 510 766
PART-1-1,47,448 768 600 44 446 766 599 43
PART-1-1,48,768 512 125 600 766 510 126 599
PART-1-1,49,92 569 769 449 93 568 767 447
PART-1-1,50,569 141 513 769 568 140 511 767
PART-1-1,51,449 769 770 450 447 767 768 448
PART-1-1,52,769 513 514 770 767 511 512 768
PART-1-1,53,450 770 601 45 448 768 600 44
PART-1-1,54,770 514 124 601 768 512 125 600
PART-1-1,55,91 570 771 451 92 569 769 449
PART-1-1,56,570 142 515 771 569 141 513 769
PART-1-1,57,451 771 772 452 449 769 770 450
PART-1-1,58,771 515 516 772 769 513 514 770
PART-1-1,59,452 772 602 46 450 770 601 45
PART-1-1,60,772 516 123 602 770 514 124 601
PART-1-1,61,90 571 773 453 91 570 771 451
PART-1-1,62,571 143 517 773 570 142 515 771
PART-1-1,63,453 773 774 454 451 771 772 452
PART-1-1,64,773 517 518 774 771 515 516 772
PART-1-1,65,454 774 603 47 452 772 602 46
PART-1-1,66,774 518 122 603 772 516 123 602
PART-1-1,67,89 572 775 455 90 571 773 453
PART-1-1,68,572 144 519 775 571 143 517 773
PART-1-1,69,455 775 776 456 453 773 774 454
PART-1-1,70,775 519 520 776 773 517 518 774
PART-1-1,71,456 776 604 48 454 774 603 47
PART-1-1,72,776 520 121 604 774 518 122 603
PART-1-1,73,88 573 777 457 89 572 775 455
PART-1-1,74,573 145 521 777 572 144 519 775
PART-1-1,75,457 777 778 458 455 775 776 456
PART-1-1,76,777 521 522 778 775 519 520 776
PART-1-1,77,458 778 605 49 456 776 604 48
PART-1-1,78,778 522 120 605 776 520 121 604
